0,1,2,3,4,5,6
2021-08-21 13:32:05+00:00,1429073824847441920,"I built my first website at 15, just for fun.

Then I started making money building sites for others.

I did that professionally for 13 years 👨‍💼

Until I realized I lost the fun by chasing the money 😫

So at 29 I quit to build my own startup.

Now I'm having fun again 😀🚀",217,8,16,0
2021-08-21 08:38:39+00:00,1428999980841324545,"We’ve sent a handwritten letter to every customer from day-1.

It’s a way to connect with them and show that we care.

My father-in-law told us it was too expensive and useless for a $100 product 😔

So I’m very happy that this little gesture made you happy Mark 😍 https://t.co/FwY2NeNOrR",43,0,13,0
2021-08-20 17:27:06+00:00,1428770580522745863,Startup founders pivot their product when they should pivot their marketing strategy.,212,24,16,3
2021-08-20 15:32:07+00:00,1428741645600690194,when I try to convince my father-in-law that my startup is a good idea 😅 https://t.co/S3XIwfHzmq,274,41,18,6
2021-08-20 13:37:11+00:00,1428712719721566208,"Some people don't see the value of my product.

I wasted months adding features trying to convince them.

But if someone doesn’t like to eat fish, you can change the seasoning all you want… In the end it's still fish and they don't like it.

Focus on people who like fish 🚀",56,0,8,0
2021-08-20 09:30:10+00:00,1428650555396734983,"Got interviewed by @bhargavk_ for his 9-min podcast. Just short enough to not be boring 😅

You can learn about why and how I'm building the startup I keep mentioning 👀

https://t.co/ytAz02lUXj",21,1,5,1
2021-08-19 17:34:14+00:00,1428409990126186506,"I sometimes get jealous of the success of other founders.

I get scared I'm not as good as them, and maybe I'm not cut out for this? 😰

Then I remember that I have the same opportunities they have.

I just need to keep working everyday, and eventually I'll succeed too 🙏",65,2,9,0
2021-08-19 15:33:07+00:00,1428379510102183937,https://t.co/KuzzQJmgVE,57,0,5,1
2021-08-19 13:32:07+00:00,1428349058276528133,"To grow my startup I followed the advice in the book ""Traction"".

It says to try every distribution channel until one works.

Tried almost all of them, none worked 😩

So out of desperation I tried growing twitter (not in the book).

And it worked🔥

They should update the book😅",134,5,16,1
2021-08-18 17:31:05+00:00,1428046807888801793,"Netflix CEO: sleep is our competition, let's find a way to make people sleep less  😎

Wannabe startup founder: I heard someone is building the same idea as me, I give up ☠️",33,1,7,0
2021-08-18 15:35:06+00:00,1428017621358764034,https://t.co/HX2LJLzSGr,60,1,4,1
2021-08-18 13:28:05+00:00,1427985657037737990,"My last job was perfect: 4-day workweek, fully remote and big salary.

But it was so comfortable that I got bored, there was not enough challenge 😫

So I left to build my own startup.

Now I work 7 days a week and make almost no money 😬

But at least I'm not bored 😂",1147,64,69,25
2021-08-17 17:27:05+00:00,1427683414661074958,Startups – work hard for as long at it takes to get lucky.,32,3,3,0
2021-08-17 15:33:08+00:00,1427654735499206658,Bootstrapping for life ❤️ https://t.co/Fo37Dn8B4r,25,2,2,0
2021-08-17 13:27:15+00:00,1427623058110664714,"I spent 14 months trying every distribution channel for my startup.

None of them worked, so I thought I was bad 🤷‍♂️

Then 2 months ago I found the right one and sales took off 🚀

Today it's only mid-August and we've already beat our best month by 60% 🤯

Keep trying 💪 https://t.co/7J8wNrP2U4",157,5,17,4
2021-08-16 17:32:14+00:00,1427322323665833986,"Some people build a startup to get rich.

Then they realize they won't make any money for years, so they quit 😩

But some people build a startup because they want freedom from a boss.

So no matter how difficult, they never stop trying.

And eventually they get rich 🔥",50,2,7,0
2021-08-16 15:34:14+00:00,1427292626886303756,https://t.co/ZSPYA7BfyG,58,11,5,2
2021-08-16 13:29:14+00:00,1427261168591245321,"You might think your product is bad because you got 1000 visits and no sales.

But most people take a long time to buy.

With my product, half of sales occur between 2 and 12 months after the first visit 🤷‍♂️

Don't give up right away. 💪",43,1,8,2
2021-08-15 17:33:05+00:00,1426960147520311297,"I left my job to build a startup.

I could have tried to raise money and aim for a $1B valuation, but I’d still be working for someone else.

Instead I’m bootstrapping, so as soon as it's profitable I won't need to work for anyone else again.

This will change my life way more 🙏",497,41,34,5
2021-08-15 15:34:07+00:00,1426930207810797574,Startup founders be like https://t.co/idJDFuiqQl,58,8,6,2
2021-08-14 17:29:14+00:00,1426596791802335236,"Are you more vc-backed startup, bootstrapped or no-code? 😅 https://t.co/IobQgeCj0a",101,8,15,1
2021-08-14 13:56:30+00:00,1426543254905016324,"I tried to make my startup grow for 14 months.

I sponsored newsletters and ran google ads.

But marketing is hard and I didn't sell anything 😩

Then I started sharing my journey on twitter.

In 10 weeks I went from 200 to 1400 followers and tripled my sales.

Here’s how 👇",821,125,62,23
2021-08-13 17:27:06+00:00,1426233864515620868,"People who didn't buy my product say it's because they miss a feature.

So I built it... but they still didn't buy 😩

Then I started building what my paying customers wanted.

It ended up attracting more people like them and increased sales 🤩

Don't listen to wannabe customers.",181,20,14,5
2021-08-13 15:32:08+00:00,1426204935507546119,https://t.co/WfP159aoGy,22,3,1,1
2021-08-13 13:37:04+00:00,1426175977193869316,"Every week I see headlines about startups raising millions.

So for 2 years, I pressured myself to be like them.

But the stress took the joy out of work.

Then I remembered all I wanted was to make a living doing what I love.

Now I focus on that and grow at my own pace 🚢🧘‍♂️",93,6,6,4
2021-08-12 17:34:05+00:00,1425873234625404929,"No better feeling that a spontaneous testimonial from a happy customer. So glad we could help Adam!

https://t.co/bIW1R8Lvlz",8,2,1,0
2021-08-12 15:33:15+00:00,1425842828442226688,https://t.co/2s4VH97R5D,44,4,5,0
2021-08-12 13:32:13+00:00,1425812366986387479,"I spent 2 years focused on building a great product.

Then we launched and didn’t get traction, so I blamed the product.

But the real problem was distribution.

So I stopped building the product, and started building an audience instead.

Now sales are taking off 🚀",156,13,15,5
2021-08-11 17:31:04+00:00,1425510090086420480,"I created my startup trying to be the next Steve Jobs.

I envisioned a product that could truly change the world 🤯

Then it failed and I realized I wasn't a genius like him 😂

Now I see myself as just a guy building a startup.

Changing the world of a few people at a time. ❤️",21,0,6,0
2021-08-11 15:35:08+00:00,1425480913052475393,https://t.co/RQSgqk33SA,15,1,1,0
2021-08-11 13:28:13+00:00,1425448971732934658,"I’m a developer building a startup but I hate marketing.

So after 2.5 years spent on my product, it wasn't growing.

I didn't want to quit though so I forced myself to do it.

Uncomfortable but with practice I got better.

Now we're growing and I'm glad I didn't give up 🙏",375,29,37,7
2021-08-10 22:13:57+00:00,1425218888896237573,"For the past 4 days we didn’t make a sale so I was getting anxious.

Then I took a long term view, reminding myself that the overall trend was still going up 🧘🏻‍♂️

I relaxed... And then I heard a sales notification 😂

Thank you Joe, you literally made my day 🔥🚀 https://t.co/W09BKsKKWq",17,1,2,0
2021-08-10 17:27:06+00:00,1425146702764429314,"Every time I'm on a zoom call I see that my background is just a heater on an ugly wall.

And I think it looks bad.

Then I realized NO this is cool! This means I’m able to build a whole startup from just my bedroom.

I got this 💪🔥",114,3,20,0
2021-08-10 15:33:16+00:00,1425118054929813509,dev startup founders be like https://t.co/qVamNOQXrv,12,1,2,0
2021-08-10 13:27:13+00:00,1425086335078084609,"I was certain that my plan for my startup would succeed.

So I overworked for 2 years, sprinting for the finish line.

But in the end, there was no finish line, I burned out.

So now I take it easy 🧘‍♂️

That way I can keep going for as long as it takes to become profitable 🚀",43,2,7,3
2021-08-09 17:32:14+00:00,1424785607411261446,"I launched my startup and people didn't care.

But I don’t blame them.

There are so many new launches every day, nobody has time to look at them all.

So instead of competing on product, I started competing on getting their attention.

Now people care and we're growing 🚀",479,61,34,2
2021-08-09 15:34:18+00:00,1424755925773062144,https://t.co/qO07SmHniR,25,3,1,0
2021-08-09 13:29:15+00:00,1424724456040280065,"I used to look at sales of my startup every day.

All the ups and downs drove me crazy.

Then I realized that most people take at least 2 months to buy.

So I started looking at sales over the past 8 weeks instead.

Now I can finally see some growth trends 🤩 https://t.co/R5kyrn82VT",60,2,1,0
2021-08-08 17:33:04+00:00,1424423429592203271,"I get jealous when I see someone go viral with a click-bait tweet.

So last week I tried to make one for the ego boost 😓

It got 88k impressions!

Yet only 116 profile clicks, like my regular tweets 🤷‍♂️

Lesson: going viral is useless by itself, stay focused on bringing value 🙏",49,5,7,2
2021-08-08 15:34:06+00:00,1424393489668845577,https://t.co/CIfj77Gh0j,18,0,1,0
2021-08-08 13:27:05+00:00,1424361526471938051,"Life as a bootstrapped founder.

Facts:
✅ July was our best month ever at $1067
✅ August started off strong at $700

Also facts:
❌ we haven't made a sale in 3 days

My brain:
I was wrong about everything, we are DOOMED 😱😵",79,0,11,2
